Title,Image URL,Rating,Price,Ad/Organic
"Lenovo IdeaPad Slim 5, AMD Ryzen AI 7 350, 24GB RAM, 1TB SSD, WUXGA OLED 14""(35.5cm), Win11, Office Home'24, Grey, 1.4Kg, 83HX001NIN, Copilot+ PC, Backlit Keyboard, 1Yr ADP Free AI Powered Laptop",https://m.media-amazon.com/images/I/71oQ0rki+-L._AC_UY218_.jpg,3.5 out of 5 stars,"86,231",Organic
"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Starlight",https://m.media-amazon.com/images/I/71wKmwQQgLL._AC_UY218_.jpg,3.6 out of 5 stars,"1,04,994",Organic
"JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue",https://m.media-amazon.com/images/I/61IDcxw27+L._AC_UY218_.jpg,3.0 out of 5 stars,"12,990",Organic
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, ek1074tu/1148tu, Iris Xe, FPR, 5MP Camera, Backlit KB Laptop",https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,3.8 out of 5 stars,"66,490",Organic
"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS",https://m.media-amazon.com/images/I/81+DaZP4aSL._AC_UY218_.jpg,4.0 out of 5 stars,"99,990",Organic
"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN",https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,4.0 out of 5 stars,"67,990",Organic
"Dell 15DC15250, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop",https://m.media-amazon.com/images/I/710ChwsODKL._AC_UY218_.jpg,3.9 out of 5 stars,"59,990",Organic
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue",https://m.media-amazon.com/images/I/81LbQEPiFnL._AC_UY218_.jpg,2.8 out of 5 stars,"19,999",Organic
"Samsung Galaxy Book4 | Intel Core 5 120U (14th Gen) |16GB RAM | 512GB SSD | Windows 11 Pro | Fingerprint Reader | Intel Iris XE Graphics | RJ45 |15.6""/39.6 cm Full HD |1.53KG | Silver- NP754XGK-LS2IN",https://m.media-amazon.com/images/I/61hij8fE9PL._AC_UY218_.jpg,5.0 out of 5 stars,"52,500",Organic
"Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop",https://m.media-amazon.com/images/I/61yC4DN4asL._AC_UY218_.jpg,3.8 out of 5 stars,"42,560",Organic
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Silver",https://m.media-amazon.com/images/I/61L3QBZ7Q+L._AC_UY218_.jpg,5.0 out of 5 stars,"2,02,990",Organic
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Space Black",https://m.media-amazon.com/images/I/615tKndaduL._AC_UY218_.jpg,N/A,"1,83,490",Organic
