Title,Image URL,Rating,Price,Ad/Organic
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",https://m.media-amazon.com/images/I/71pKJ+Mjd8L._AC_UY218_.jpg,4.6 out of 5 stars,"92,900",Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"33,711",Organic
"HP 255 G10 Laptop for Home or Work, 16GB RAM, 512GB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready",https://m.media-amazon.com/images/I/61o8UTGgcFL._AC_UY218_.jpg,4.6 out of 5 stars,"34,950",Organic
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,4.0 out of 5 stars,"37,990",Organic
"Apple 2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage; Space Black",https://m.media-amazon.com/images/I/615tKndaduL._AC_UY218_.jpg,N/A,"1,83,490",Organic
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35.6 cm, Touchscreen 2-in-1, Win 11, Office 21, Silver, 1.51 kg, ek1010TU/1149tu, FPR, 5MP Camera, B&O, Backlit Laptop",https://m.media-amazon.com/images/I/61rES1ry1+L._AC_UY218_.jpg,3.8 out of 5 stars,"70,990",Organic
"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,3.9 out of 5 stars,"29,790",Organic
"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050,75W TGP,16GB DDR5(Upgradeable Upto 64GB )512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,48Whrs,Windows 11,Graphite Black,2.3 Kg) FA506NCG-HN199W",https://m.media-amazon.com/images/I/81nPkLHN3vL._AC_UY218_.jpg,4.1 out of 5 stars,"70,990",Organic
Model L14 | i5-10210U 10th Gen | 8GB RAM | 256GB SSD | 14″ FHD Display | Pro Laptop,https://m.media-amazon.com/images/I/51q6WLtl1ZL._AC_UY218_.jpg,N/A,"24,990",Organic
"HP Smartchoice Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6’’/39.6cm, Win11, Office24, Blue, 2.29kg, fa2190/fa2191tx Gaming Laptop",https://m.media-amazon.com/images/I/71wT57gW0hL._AC_UY218_.jpg,3.8 out of 5 stars,"66,990",Organic
